id,listing_url,scrape_id,last_scraped,name,experiences_offered,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6860,https://www.airbnb.com/rooms/6860,2.02003E+13,3/23/20,Downtown Charmer - 17 Mins to NYC!,none,Festive,5/6/09,"Jersey City, New Jersey, United States",within an hour,100%,97%,f,https://a0.muscache.com/im/users/16038/profile_pic/1405308594/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16038/profile_pic/1405308594/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'kba']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.72613,-74.04811,t,Loft,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$163.00 ,$900.00 ,"$2,600.00 ",$500.00 ,$95.00 ,2,$75.00 ,28,120,28,28,120,120,28,120,4 months ago,t,30,60,90,270,3/23/20,41,6,5/9/15,8/16/19,92,9,9,10,10,10,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,moderate,f,f,3,3,0,0,0.69
40669,https://www.airbnb.com/rooms/40669,2.02003E+13,3/23/20,Skyy’s Lounge / Cozy,none,Skyy,7/20/10,"Jersey City, New Jersey, United States",N/A,N/A,80%,f,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'facebook', 'reviews']",t,f,"Jersey City, NJ, United States",,Ward C (councilmember Richard Boggiano),,Jersey City,NJ,7306,New York,"Jersey City, NJ",US,United States,40.73742,-74.05255,t,Condominium,Private room,2,1,1,0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Gym,Breakfast,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Changing table"",""High chair"",""Children’s books and toys"",Crib,""Children’s dinnerware"",""Game console"",""Hot water"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",288,$82.00 ,$650.00 ,"$1,600.00 ",,,2,$25.00 ,3,365,3,3,365,365,3,365,6 months ago,t,28,58,88,363,3/23/20,10,1,9/23/10,10/12/19,100,10,10,10,10,10,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,flexible,f,f,2,0,2,0,0.09
52696,https://www.airbnb.com/rooms/52696,2.02003E+13,3/23/20,Townhouse garden unit. Subway to NY,none,Barbara,9/24/10,"Jersey City, New Jersey, United States",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/045dc773-1dee-4675-b6f1-b89d81be1f85.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/045dc773-1dee-4675-b6f1-b89d81be1f85.jpg?aki_policy=profile_x_medium,,0,0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward C (councilmember Richard Boggiano),,Jersey City,NJ,7306,New York,"Jersey City, NJ",US,United States,40.72543,-74.06369,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance""}",,$90.00 ,,"$2,310.00 ",$300.00 ,$60.00 ,2,$20.00 ,3,365,3,3,365,365,3,365,2 weeks ago,t,29,59,81,338,3/23/20,194,19,12/7/10,11/1/19,91,10,9,10,10,9,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,1,1,0,0,1.71
58350,https://www.airbnb.com/rooms/58350,2.02003E+13,3/23/20,HUGE PENTHOUSE LUXURY!!,none,Martin,11/5/10,"New York, New York, United States",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/d7798c23-2737-4c96-84ed-260362e9ae4b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7798c23-2737-4c96-84ed-260362e9ae4b.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.72119,-74.04085,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Gym,Elevator,Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer}",,$395.00 ,,"$6,000.00 ","$2,000.00 ",$175.00 ,2,$100.00 ,15,220,15,15,220,220,15,220,19 months ago,t,27,57,87,362,3/23/20,2,0,10/4/11,8/16/18,,10,10,10,10,10,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,moderate,f,f,1,1,0,0,0.02
63282,https://www.airbnb.com/rooms/63282,2.02003E+13,3/23/20,"2bed/2bath,furnished,doorman, by NY",none,Gil,11/30/10,"New York, New York, United States",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/304762/profile_pic/1384125704/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304762/profile_pic/1384125704/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Jersey City, NJ, United States",,Ward B (councilmember Mira Prinz-Arey),,Jersey City,NJ,7306,New York,"Jersey City, NJ",US,United States,40.72813,-74.07037,t,Apartment,Entire home/apt,4,2,2,3,Real Bed,"{Wifi,Kitchen,Doorman,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Laptop friendly workspace"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove,""Long term stays allowed""}",1,"$2,000.00 ",,,"$3,000.00 ",$150.00 ,3,$50.00 ,150,730,150,150,730,730,150,730,never,t,30,60,90,365,3/23/20,0,0,,,,,,,,,,f,,"{""New Jersey State"","" Jersey City""}",f,f,moderate,f,f,1,1,0,0,
72548,https://www.airbnb.com/rooms/72548,2.02003E+13,3/23/20,"Jersey City, 1-Bedroom Garden Apt.",none,Susan And Ivan,8/3/10,"Jersey City, New Jersey, United States",within a few hours,100%,0%,f,https://a0.muscache.com/im/pictures/user/b5157f1f-a014-4023-9d3b-652476505ff5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b5157f1f-a014-4023-9d3b-652476505ff5.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,"Jersey City, NJ, United States",,Ward F (councilmember Jermaine D. Robinson),,Jersey City,NJ,7304,New York,"Jersey City, NJ",US,United States,40.71386,-74.06325,t,Apartment,Entire home/apt,2,1,1,2,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$90.00 ,,,,,1,$0.00 ,7,30,7,7,30,30,7,30,4 weeks ago,t,0,0,0,0,3/23/20,85,0,5/3/11,10/22/18,96,10,10,10,10,8,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,t,t,1,1,0,0,0.79
81066,https://www.airbnb.com/rooms/81066,2.02003E+13,3/23/20,BNB by NYC: You own 2Floors & 5 Room...Spread Out!,none,Juliet,3/13/11,"Jersey City, New Jersey, United States",within a day,100%,81%,t,https://a0.muscache.com/im/users/439043/profile_pic/1300042825/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/439043/profile_pic/1300042825/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Jersey City, NJ, United States",,Ward B (councilmember Mira Prinz-Arey),,Jersey City,NJ,7305,New York,"Jersey City, NJ",US,United States,40.71055,-74.08522,t,House,Private room,4,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,Heating,""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed""}",4000,$189.00 ,$857.00 ,"$2,250.00 ",$0.00 ,$125.00 ,1,$95.00 ,1,4,1,1,4,4,1,4,3 months ago,t,29,59,89,364,3/23/20,0,0,,,,,,,,,,f,,"{""New Jersey State"","" Jersey City""}",f,f,flexible,f,f,2,0,2,0,
82797,https://www.airbnb.com/rooms/82797,2.02003E+13,3/23/20,Amazing Jersey City Apartment!,none,Molly,3/19/11,"Jersey City, New Jersey, United States",N/A,N/A,75%,f,https://a0.muscache.com/im/users/450770/profile_pic/1440509238/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/450770/profile_pic/1440509238/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'kba']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.71645,-74.04183,t,Apartment,Entire home/apt,2,1,1,0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Self check-in"",Lockbox,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout""}",,$100.00 ,,,$400.00 ,$40.00 ,2,$40.00 ,7,1125,7,7,1125,1125,7,1125,10 months ago,t,0,0,0,0,3/23/20,9,1,9/6/15,4/26/19,96,10,9,10,10,10,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.16
146144,https://www.airbnb.com/rooms/146144,2.02003E+13,3/23/20,Shared Room,none,Patricia,10/19/10,"Florence, Tuscany, Italy",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/266070/profile_pic/1307135921/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/266070/profile_pic/1307135921/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'kba']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.71077,-74.03833,t,Apartment,Shared room,1,,1,1,Real Bed,{},,$200.00 ,,,,,1,$100.00 ,2,2,2,2,2,2,2,2,never,t,30,60,90,365,3/23/20,0,0,,,,,,,,,,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,1,0,0,1,
215768,https://www.airbnb.com/rooms/215768,2.02003E+13,3/23/20,Minutes to Manhattan & Jersey Shore,none,Charlaine,7/20/11,"Jersey City, New Jersey, United States",within an hour,100%,95%,t,https://a0.muscache.com/im/users/846837/profile_pic/1396965391/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/846837/profile_pic/1396965391/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'kba']",t,t,"Jersey City, NJ, United States",,Ward F (councilmember Jermaine D. Robinson),,Jersey City,NJ,7304,New York,"Jersey City, NJ",US,United States,40.71663,-74.05799,t,House,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$100.00 ,,,$0.00 ,$60.00 ,2,$40.00 ,6,365,6,6,365,365,6,365,3 months ago,t,29,47,77,346,3/23/20,125,15,9/13/11,1/6/20,95,10,10,10,10,9,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,t,t,3,3,0,0,1.2
